,iter,geneset,stratified,model,test accuracy,test balanced accuracy,Test_ROC
159,59,COSMIC,False,Poly_SVC,0.684,0.504,-1
160,60,COSMIC,False,Poly_SVC,0.684,0.502,-1
161,61,COSMIC,False,Poly_SVC,0.752,0.515,-1
162,62,COSMIC,False,Poly_SVC,0.684,0.502,-1
163,63,COSMIC,False,Poly_SVC,0.761,0.503,-1
164,64,COSMIC,False,Poly_SVC,0.769,0.558,-1
165,65,COSMIC,False,Poly_SVC,0.778,0.519,-1
166,66,COSMIC,False,Poly_SVC,0.726,0.485,-1
167,67,COSMIC,False,Poly_SVC,0.291,0.5,-1
168,68,COSMIC,False,Poly_SVC,0.684,0.502,-1
169,69,COSMIC,False,Poly_SVC,0.778,0.544,-1
170,70,COSMIC,False,Poly_SVC,0.744,0.506,-1
171,71,COSMIC,False,Poly_SVC,0.692,0.495,-1
172,72,COSMIC,False,Poly_SVC,0.761,0.489,-1
173,73,COSMIC,False,Poly_SVC,0.769,0.534,-1
174,74,COSMIC,False,Poly_SVC,0.675,0.474,-1
175,75,COSMIC,False,Poly_SVC,0.744,0.506,-1
176,76,COSMIC,False,Poly_SVC,0.786,0.544,-1
177,77,COSMIC,False,Poly_SVC,0.769,0.513,-1
178,78,COSMIC,False,Poly_SVC,0.752,0.517,-1
179,79,COSMIC,False,Poly_SVC,0.761,0.529,-1
180,80,COSMIC,False,Poly_SVC,0.769,0.5,-1
181,81,COSMIC,False,Poly_SVC,0.752,0.502,-1
182,82,COSMIC,False,Poly_SVC,0.709,0.51,-1
183,83,COSMIC,False,Poly_SVC,0.726,0.51,-1
184,84,COSMIC,False,Poly_SVC,0.231,0.5,-1
185,85,COSMIC,False,Poly_SVC,0.752,0.539,-1
186,86,COSMIC,False,Poly_SVC,0.778,0.519,-1
187,87,COSMIC,False,Poly_SVC,0.769,0.5,-1
188,88,COSMIC,False,Poly_SVC,0.752,0.494,-1
189,89,COSMIC,False,Poly_SVC,0.291,0.5,-1
190,90,COSMIC,False,Poly_SVC,0.752,0.5,-1
191,91,COSMIC,False,Poly_SVC,0.709,0.494,-1
192,92,COSMIC,False,Poly_SVC,0.684,0.495,-1
193,93,COSMIC,False,Poly_SVC,0.829,0.5,-1
194,94,COSMIC,False,Poly_SVC,0.735,0.531,-1
195,95,COSMIC,False,Poly_SVC,0.786,0.533,-1
196,96,COSMIC,False,Poly_SVC,0.821,0.511,-1
197,97,COSMIC,False,Poly_SVC,0.692,0.51,-1
198,98,COSMIC,False,Poly_SVC,0.692,0.5,-1
199,99,COSMIC,False,Poly_SVC,0.701,0.477,-1
200,0,FEATURES,False,Poly_SVC,0.299,0.5,-1
201,1,FEATURES,False,Poly_SVC,0.718,0.499,-1
202,2,FEATURES,False,Poly_SVC,0.299,0.5,-1
203,3,FEATURES,False,Poly_SVC,0.658,0.511,-1
204,4,FEATURES,False,Poly_SVC,0.709,0.472,-1
205,5,FEATURES,False,Poly_SVC,0.726,0.5,-1
206,6,FEATURES,False,Poly_SVC,0.735,0.5,-1
207,7,FEATURES,False,Poly_SVC,0.735,0.5,-1
208,8,FEATURES,False,Poly_SVC,0.701,0.507,-1
209,9,FEATURES,False,Poly_SVC,0.675,0.507,-1
210,10,FEATURES,False,Poly_SVC,0.726,0.494,-1
211,11,FEATURES,False,Poly_SVC,0.675,0.476,-1
212,12,FEATURES,False,Poly_SVC,0.735,0.65,-1
213,13,FEATURES,False,Poly_SVC,0.761,0.49,-1
214,14,FEATURES,False,Poly_SVC,0.684,0.508,-1
215,15,FEATURES,False,Poly_SVC,0.752,0.517,-1
216,16,FEATURES,False,Poly_SVC,0.761,0.494,-1
217,17,FEATURES,False,Poly_SVC,0.291,0.5,-1
218,18,FEATURES,False,Poly_SVC,0.761,0.5,-1
219,19,FEATURES,False,Poly_SVC,0.709,0.488,-1
220,20,FEATURES,False,Poly_SVC,0.684,0.547,-1
221,21,FEATURES,False,Poly_SVC,0.735,0.51,-1
222,22,FEATURES,False,Poly_SVC,0.709,0.493,-1
223,23,FEATURES,False,Poly_SVC,0.726,0.5,-1
224,24,FEATURES,False,Poly_SVC,0.718,0.489,-1
225,25,FEATURES,False,Poly_SVC,0.299,0.5,-1
226,26,FEATURES,False,Poly_SVC,0.684,0.525,-1
227,27,FEATURES,False,Poly_SVC,0.735,0.541,-1
228,28,FEATURES,False,Poly_SVC,0.718,0.484,-1
229,29,FEATURES,False,Poly_SVC,0.795,0.5,-1
230,30,FEATURES,False,Poly_SVC,0.726,0.5,-1
231,31,FEATURES,False,Poly_SVC,0.735,0.495,-1
232,32,FEATURES,False,Poly_SVC,0.222,0.5,-1
233,33,FEATURES,False,Poly_SVC,0.675,0.573,-1
234,34,FEATURES,False,Poly_SVC,0.222,0.5,-1
235,35,FEATURES,False,Poly_SVC,0.735,0.51,-1
236,36,FEATURES,False,Poly_SVC,0.744,0.496,-1
237,37,FEATURES,False,Poly_SVC,0.675,0.494,-1
238,38,FEATURES,False,Poly_SVC,0.726,0.5,-1
239,39,FEATURES,False,Poly_SVC,0.752,0.494,-1
240,40,FEATURES,False,Poly_SVC,0.744,0.494,-1
241,41,FEATURES,False,Poly_SVC,0.752,0.484,-1
242,42,FEATURES,False,Poly_SVC,0.299,0.5,-1
243,43,FEATURES,False,Poly_SVC,0.786,0.5,-1
244,44,FEATURES,False,Poly_SVC,0.812,0.5,-1
245,45,FEATURES,False,Poly_SVC,0.282,0.5,-1
246,46,FEATURES,False,Poly_SVC,0.282,0.5,-1
247,47,FEATURES,False,Poly_SVC,0.769,0.5,-1
248,48,FEATURES,False,Poly_SVC,0.291,0.5,-1
249,49,FEATURES,False,Poly_SVC,0.761,0.517,-1
250,50,FEATURES,False,Poly_SVC,0.709,0.493,-1
251,51,FEATURES,False,Poly_SVC,0.821,0.523,-1
252,52,FEATURES,False,Poly_SVC,0.299,0.5,-1
253,53,FEATURES,False,Poly_SVC,0.299,0.5,-1
254,54,FEATURES,False,Poly_SVC,0.735,0.51,-1
255,55,FEATURES,False,Poly_SVC,0.718,0.575,-1
256,56,FEATURES,False,Poly_SVC,0.744,0.494,-1
257,57,FEATURES,False,Poly_SVC,0.718,0.547,-1
258,58,FEATURES,False,Poly_SVC,0.812,0.51,-1
259,59,FEATURES,False,Poly_SVC,0.701,0.504,-1
260,60,FEATURES,False,Poly_SVC,0.709,0.511,-1
261,61,FEATURES,False,Poly_SVC,0.795,0.5,-1
262,62,FEATURES,False,Poly_SVC,0.735,0.483,-1
263,63,FEATURES,False,Poly_SVC,0.735,0.512,-1
264,64,FEATURES,False,Poly_SVC,0.684,0.51,-1
265,65,FEATURES,False,Poly_SVC,0.726,0.5,-1
266,66,FEATURES,False,Poly_SVC,0.744,0.5,-1
267,67,FEATURES,False,Poly_SVC,0.282,0.5,-1
268,68,FEATURES,False,Poly_SVC,0.726,0.5,-1
269,69,FEATURES,False,Poly_SVC,0.778,0.474,-1
270,70,FEATURES,False,Poly_SVC,0.752,0.5,-1
271,71,FEATURES,False,Poly_SVC,0.718,0.483,-1
272,72,FEATURES,False,Poly_SVC,0.282,0.5,-1
273,73,FEATURES,False,Poly_SVC,0.726,0.494,-1
274,74,FEATURES,False,Poly_SVC,0.726,0.485,-1
275,75,FEATURES,False,Poly_SVC,0.735,0.51,-1
276,76,FEATURES,False,Poly_SVC,0.658,0.541,-1
277,77,FEATURES,False,Poly_SVC,0.718,0.488,-1
278,78,FEATURES,False,Poly_SVC,0.744,0.506,-1
279,79,FEATURES,False,Poly_SVC,0.658,0.475,-1
280,80,FEATURES,False,Poly_SVC,0.222,0.5,-1
281,81,FEATURES,False,Poly_SVC,0.291,0.5,-1
282,82,FEATURES,False,Poly_SVC,0.291,0.5,-1
283,83,FEATURES,False,Poly_SVC,0.692,0.52,-1
284,84,FEATURES,False,Poly_SVC,0.718,0.519,-1
285,85,FEATURES,False,Poly_SVC,0.744,0.645,-1
286,86,FEATURES,False,Poly_SVC,0.624,0.616,-1
287,87,FEATURES,False,Poly_SVC,0.795,0.5,-1
288,88,FEATURES,False,Poly_SVC,0.692,0.553,-1
289,89,FEATURES,False,Poly_SVC,0.718,0.581,-1
290,90,FEATURES,False,Poly_SVC,0.231,0.5,-1
291,91,FEATURES,False,Poly_SVC,0.786,0.5,-1
292,92,FEATURES,False,Poly_SVC,0.231,0.5,-1
293,93,FEATURES,False,Poly_SVC,0.282,0.5,-1
294,94,FEATURES,False,Poly_SVC,0.761,0.498,-1
295,95,FEATURES,False,Poly_SVC,0.769,0.534,-1
296,96,FEATURES,False,Poly_SVC,0.291,0.5,-1
297,97,FEATURES,False,Poly_SVC,0.786,0.5,-1
298,98,FEATURES,False,Poly_SVC,0.726,0.5,-1
299,99,FEATURES,False,Poly_SVC,0.231,0.5,-1
